,NeutrinoEnergy,RecoE
287,605.000,698.226
288,1334.000,1052.351
289,916.000,910.055
290,1323.000,1082.664
291,1276.000,1219.152
292,877.000,872.677
293,1430.000,1463.487
294,949.000,874.673
295,1648.000,1335.188
296,869.000,872.346
297,1349.000,1567.539
298,1403.000,1255.342
299,978.000,933.828
300,900.000,969.131
301,1460.000,1574.422
302,626.000,676.932
303,1214.000,1624.198
304,1407.000,1355.335
305,1050.000,953.888
306,1141.000,1136.106
307,640.000,836.370
308,792.000,837.659
309,1419.000,939.846
310,1274.000,1196.211
311,817.000,822.019
312,1750.000,1528.938
313,1331.000,1173.326
314,1155.000,1081.468
315,1100.000,1253.716
316,567.000,611.157
317,1035.000,1013.761
318,1081.000,1179.833
319,889.000,946.993
320,611.000,702.725
321,1560.000,1452.027
322,1106.000,1061.510
323,1481.000,1348.313
324,803.000,849.941
325,1602.000,1700.391
326,739.000,1115.706
327,1168.000,920.077
328,779.000,868.401
329,981.000,941.726
330,611.000,744.511
331,1278.000,1353.749
332,1350.000,907.291
333,823.000,925.495
334,1960.000,1695.221
335,1353.000,1262.697
336,1110.000,974.364
337,1129.000,1245.764
338,1233.000,1248.138
339,781.000,814.038
340,822.000,905.087
341,773.000,753.452
342,772.000,829.893
343,1421.000,1029.458
344,1699.000,929.555
345,1054.000,1064.699
346,1171.000,1010.855
347,633.000,766.411
348,742.000,811.803
349,409.000,654.021
350,1562.000,682.933
351,690.000,829.897
352,1434.000,1414.070
353,744.000,783.303
354,859.000,983.869
355,1349.000,1034.959
356,697.000,738.506
357,594.000,728.320
358,1045.000,1105.870
359,1280.000,1324.153
360,978.000,1181.948
361,886.000,830.002
362,985.000,1114.626
363,1293.000,1362.652
364,843.000,899.398
365,1040.000,1001.816
366,825.000,780.493
367,1752.000,1610.173
368,1283.000,1292.842
369,1130.000,1185.673
370,690.000,666.785
371,1964.000,912.268
372,813.000,853.297
373,1062.000,1083.531
374,656.000,863.514
375,1231.000,1398.792
376,808.000,916.295
377,499.000,602.774
378,868.000,976.447
379,885.000,830.480
380,1067.000,1024.443
381,1449.000,1623.786
382,1319.000,1429.035
383,1142.000,1323.439
384,1258.000,1292.186
385,875.000,970.106
386,941.000,983.589
387,667.000,670.724
